               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.043284,            0.042839,           0.0031654,             0.87311,             0.81031,             0.86506,              0.4641,            0.042973,            0.027093,           0.0028805,            0.006832,            0.006832,            0.006832
                  50,            0.043068,            0.043045,           0.0031845,             0.87539,             0.81291,             0.87492,             0.48251,            0.041812,            0.026917,           0.0028316,            0.006766,            0.006766,            0.006766
                  51,            0.042787,             0.04264,           0.0029734,             0.87729,             0.82574,             0.87939,             0.48521,             0.04187,            0.026539,           0.0028667,              0.0067,              0.0067,              0.0067
                  52,            0.043125,            0.043008,           0.0028717,             0.87345,             0.80673,             0.86707,             0.46771,            0.042329,            0.026946,           0.0029485,            0.006634,            0.006634,            0.006634
                  53,             0.04354,            0.041498,           0.0031205,             0.86954,             0.82637,             0.88027,             0.48643,            0.041802,            0.026755,           0.0028268,            0.006568,            0.006568,            0.006568
                  54,             0.04262,            0.042324,           0.0030749,             0.89268,             0.82609,             0.88026,              0.4848,            0.041563,            0.026499,           0.0028613,            0.006502,            0.006502,            0.006502
                  55,            0.041649,            0.040211,           0.0030362,             0.86137,              0.8357,             0.87913,             0.48331,            0.041865,            0.026701,           0.0029068,            0.006436,            0.006436,            0.006436
                  56,             0.04217,            0.042716,           0.0030904,             0.86701,             0.84251,             0.88657,             0.48245,            0.040959,            0.026335,           0.0024168,             0.00637,             0.00637,             0.00637
                  57,            0.041525,            0.041636,           0.0029937,              0.8728,             0.83186,             0.88262,             0.49509,            0.041224,            0.026181,           0.0025139,            0.006304,            0.006304,            0.006304
                  58,            0.041399,             0.04082,           0.0026585,             0.88435,             0.83063,             0.88402,             0.49804,            0.041091,            0.026319,           0.0025619,            0.006238,            0.006238,            0.006238
                  59,            0.042133,            0.042132,           0.0028782,             0.89948,             0.82477,             0.88583,             0.48836,            0.041065,            0.026187,           0.0024696,            0.006172,            0.006172,            0.006172
